"Priority","DateReported","Modified","Category","Contract_x0020_No","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod"
"Medium","2022-04-06","2022-04-08","Respiratory Heaters and Accessories","<div class=""ExternalClass5F294C992DED47BABB4CF0F712DA6719""><a href=""https&#58;//members.healthtrustpg.com/contracts/6071"" title=""6071"">6071</a></div>","<div class=""ExternalClass6FD41B9BC3F34CD8805C3E3194CB490A"">HUD38150 (1650mL Concha Water) has been placed on allocation, effective immediately</div>","<div class=""ExternalClass8853695D4C2349DD96D5500846F2A3AB"">No official letter communicated. Information received via supplier.</div>","HUD38150 (1650mL Concha Water) remains on allocation. For current customers, allocation has been set to accommodate 100% of customer?s average monthly historic demand with a minimum case quantity of 5","Not Specified - Global Supply Challenges","Purchase Allocation","<div class=""ExternalClass9C56C05620AD4A4E88A1AC72B92E0348""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/6071"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass63555EB223BF4923B0B63DE0DF777776""><a href=""https://members.healthtrustpg.com/contracts/6071"" title=""Respiratory Heaters and Accessories"">Respiratory Heaters and Accessories</a></div>"
"Retire/Resolved","2022-01-13","2022-05-04","Respiratory, Oxygen Delivery Devices","<div class=""ExternalClassBFA902C68AB547558E992F9049FF3854""><a href=""https&#58;//members.healthtrustpg.com/contracts/75863"" title=""75863"">75863</a></div>","<div class=""ExternalClassD42B88BC85504BDDBF66B186D36E22FC"">Incentive Spirometers are on allocation based on 6 months historical usage&#58;                                                    HCS93250                                                                                HCS93500                                                                                      HUD8884719010                                                                             HUD8884719011</div>","<div class=""ExternalClassE02F1A7D5DDE4B588363070930D5CCA9"">No official letter communicated. Information received via supplier.</div>","Medline codes are on allocation based on 6 months historical usage","Demand Fluctuations","Purchase Allocation, Contracted Alternatives","","<div class=""ExternalClassA1F0F1BBC3FD4398AF2A6A4966AE63B9"">Respiratory, Lung Expansion Devices</div>"
"Medium","2021-12-17","2022-02-11","Respiratory, Lung Expansion Devices","<div class=""ExternalClass58F4C967773D430B89EB52249CD38565""><a href=""https&#58;//members.healthtrustpg.com/contracts/75856"" title=""75856"">75856</a></div>","<div class=""ExternalClass9A8D543FF047452982857C931AC988D5"">22-2000 COACH 2 FOR KIDS NS + 12/CA                                22-2500 COACH 2 2500ML NS + 12/CA                                  22-2501 COACH 2 2500ML W/O VALVE NS + 12/CA          22-4000 COACH 2 4000ML NS + 12/CA                                    22-4001 COACH 2 4000ML W/O VALVE NS + 12/CA</div>","<div class=""ExternalClass0A242A33FFA14233A0558295BB884228"">No official letter communicated. Information received via supplier.</div>","Smiths Medical incentive spirometers are on backorder and they have put them in allocation to control available inventory release.","Not Selected","Not Selected","","<div class=""ExternalClassDBC85CFAC4C84A04A5E6ABFF000F09F4""><a href=""https://members.healthtrustpg.com/contracts/75856"" title=""Respiratory, Lung Expansion Devices"">Respiratory, Lung Expansion Devices</a></div>"
"High","2021-10-26","2022-02-17","Safety IV Catheters","<div class=""ExternalClass3452DA7DD1EE477CBDA034E48998DFB7"">778</div>","<div class=""ExternalClassB7336BB3BC9E432289193D8CC90EDA99"">Various SKUs</div>","<div class=""ExternalClassE7FC01DC40B74459BDAD75FDC402F184"">No official letter communicated. Information received via supplier.</div>","Smiths:  supply issues being reported - no definitive time for resolution.","Demand Fluctuations","Contracted Alternatives","","<div class=""ExternalClass29E71E8FC820460BBE54BB8CB16780F7"">Catheters - IV Safety</div>"
"Low","2022-05-13","2022-05-16","Skin Care Products","<div class=""ExternalClass588904318F6544C8946DA8DDEED53A8D""><a href=""https&#58;//members.healthtrustpg.com/contracts/3599"" title=""3599"">3599</a></div>","<div class=""ExternalClass6FBB1BD463EF4204B443F4832449BBEC""><div>Additional items impacted. Please work with your local Medline sales representative for updates and substitute recommendations.?</div><div>MSC092ZP04 &#160;Sub&#58; MSC092554<br></div><div>MSC092542 &#160;Sub&#58; MSC092554</div><div>MSC092544PACK &#160;Sub&#58; MSC092554PACK</div><div>MSC095332 &#160;Sub&#58; MSC092408</div><div>MSC092204 &#160;Sub&#58; MSC092208</div><div>Remedy Olivamine is in short supply and we anticipate shortages for much of 2022.</div><div class=""ExternalClassF6C09BE3D46F411A807EE278FF220E06""><div class=""ExternalClassE9DAF406B6BE4A828C48611ABFBB8D17""><div><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span style=""background-color&#58;rgb(255, 255, 255);display&#58;inline !important;""><p><br></p></span></div><p><br></p></div><div><br></div></div></div></div>","<div class=""ExternalClassFF948EC2FA784041A1FDBC27253A3E23"">No official letter communicated. Information received via supplier.</div>","As the result of long raw material lead times, manufacturing delays, and transportation issues related to COVID, select items are tight on supply and will need to be subbed. 
As the situation continues to be very fluid, Medline will communicate updates as needed. Medline is working to mitigate the impact as much as possible by expediting shipments into branches, expediting stock transfers, and working with its suppliers to increase production.  ","Raw Material Shortage, Manufacturing Delays from Third Party Vendor, Shipping Delays","Alternatives Recommended by Supplier","<div class=""ExternalClassD7F81426AC594D9AAC3AB53FB3288039""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/3599"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass2673B0B0829941F5A1915B65D2681ACC""><a href=""https://members.healthtrustpg.com/contracts/3599"" title=""Skin Care Products"">Skin Care Products</a></div>"
"High","2022-03-23","2022-03-23","Skin Prep Applicators and Swabsticks","<div class=""ExternalClassB558B66EBC47486885F515A76AEF9D3A""><a href=""https&#58;//members.healthtrustpg.com/contracts/2048"" title=""2048"">2048</a></div>","<div class=""ExternalClass70F062D6ED8F43C09326C7B01E610328"">Prevantics Products</div>","<div class=""ExternalClass8C5754B2B00E40EB9D42A26AA2D82482""><a href=""https&#58;//portal.healthtrustpg.com/-/media/760B39EA9C9249289228643AB5500D6A.ashx?utm_campaign=2018%20Response%20MedSurg%20-%20Alert&amp;utm_medium=email&amp;_hsmi=201485243&amp;_hsenc=p2ANqtz-8nR5eF1coFkr17bQdbJU5IpUi1D-zMA88MciRhVbTqaZAnljnU3FQ9wxW0Mxzam6xBisrtfx3y2Ll"" title=""PDI Letter"">PDI Letter</a></div>","An inspection conducted by the U.S. Food and Drug Administration (FDA) at the PDI manufacturing facility during May-June 2021 resulted in the issuance of a warning letter to PDI. PDI has paused the distribution of Prevantics products while they prepare and execute a plan of action to address this. Please see the attached document for further information.","Quality Concerns","Contracted Alternatives","<div class=""ExternalClassA251AD66E9F648CBBCBC9699E1DB2097""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><a href=""https://members.healthtrustpg.com/contracts/2048"" title=""?Award Summary""><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;10pt;"">?</span><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;10pt;"">Award Summary</span></a></li><li><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/2048-980-3256.PFS_Surgical%20Skin%20Prep_Final-4.12.2021%20(1).xlsx?d=w65a3f2af37e8439cbf4b3d5873d826a4&amp;csf=1&amp;web=1&amp;e=bvL3jK"" title=""Clinical Resource - PFS""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;10pt;"">Clinical Resource - PFS</span></a></li><li><span style=""font-size&#58;10pt;font-family&#58;&quot;segoe ui&quot;;""><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/2048.Povidone-Iodine.PIV.CL.2.9.pdf?csf=1&amp;web=1&amp;e=EmfNtk"" title=""Clinical Resource - Clinical Evidence Summary"">Clinical Resource - Clinical Evidence Summary</a></span></li></ul></div></div>","<div class=""ExternalClassE46BD8CAA9234F6B86FC243889610F4C""><a href=""https://members.healthtrustpg.com/contracts/2048"" title=""Skin Prep Applicators and Swabsticks"">Skin Prep Applicators and Swabsticks</a></div>"
"Medium","2022-05-13","2022-05-16","Skin Prep Applicators and Swabsticks","<div class=""ExternalClass7BB9C48842EB4611A69A8EE6B3C99AB3"">980</div>","<div class=""ExternalClass5463715B740C47A59D4639AF9A4DC29D"">ChloraPrep 1 mL single sterile 930480</div>","<div class=""ExternalClass68725058AD334C59AB0388670A461578""><a href=""https&#58;//portal.healthtrustpg.com/-/media/B55482DEF1B746A9B163BAB00DC9B29B.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212951564&amp;_hsenc=p2ANqtz-_lFZEvabcDiFvxFqcZQnxxqKMypNf6tohzafHpyLfR78iGPGGoPBZL85bK_VC1g48bF-xXnZMFidkLkSBYg1DspRi"" title=""UPDATE 5/13&#58; BD Letter May 4"">UPDATE 5/13&#58; BD Letter May 4</a></div>","UPDATE 5/13:
BD will start shipping BD ChloraPrep Single Sterile 1mL Applicator, 930480 the week of May 16, 2022.? For the month of May, customers can order 50% of their allocation volume and they expect full recovery in June 2022.","Not Specified - Global Supply Challenges","Purchase Allocation","<div class=""ExternalClass766EB9AB5A03466687094855AA1F14D2""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></li><li><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/2048-980-3256.PFS_Surgical%20Skin%20Prep_Final-4.12.2021%20(1).xlsx?d=w65a3f2af37e8439cbf4b3d5873d826a4&amp;csf=1&amp;web=1&amp;e=bvL3jK"" title=""Clinical Resource - PFS""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - PFS</span></a></li></ul></div></div>","<div class=""ExternalClass8C44B0E831FE4F96BD1F6B1CF27D7D83""><span style=""color&#58;black;""><a href=""https://members.healthtrustpg.com/contracts/980"" title=""?Surgical Skin Prep - CHG-Alcohol"">?Surgical Skin Prep - CHG-Alcohol</a></span></div>"
"Low","2022-05-13","2022-05-16","Sharps Containers","<div class=""ExternalClassD84192A118C2470FB162E8ACC2B27757""><a href=""https&#58;//members.healthtrustpg.com/contracts/682"" title=""682"">682</a></div>","<div class=""ExternalClassCB89B83591D546BB828051358339CD2D""><div><span style=""color&#58;black;"">?</span>???UPDATE 5/13&#58; Products Affected Updated<div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span>Phlebotomy Containers (8900SA &amp; 8900MW) ) Products are in production. Cardinal is expecting full recovery on both codes by October, anticipating new business in January 2023<br></span><div><p>All other containers ? October 2022&#160;&#160;</p><p>Sharps Container Hardware ex<span style=""background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">periencing delays on select container hardware items</span>&#160;due to continued challenges in the resin market and general labor market, Working to decrease lead<br></p></div><span>times where possible ? October 2022 &#160; &#160;</span><br></div></div></div>","<div class=""ExternalClass91DC799A9BFE4BB8926B6FFE6A4DA4F5"">No official letter communicated. Information received via supplier.</div>","UPDATE 5/13:
Due to labor and raw material shortages, Cardinal continues to see rolling backorders across the portfolio, but have been able to restart production on 95% of the items that were previously in hibernated status. Cardinal will continue to restart production on additional codes through May 2022, until its full portfolio is back in production. At this time, Cardinal is not able to take on new business as they have seen improvements with labor but continue to experience capacity constraints.","Manufacturing Delays from Third Party Vendor, Labor Shortages","Alternatives Recommended by Supplier","<div class=""ExternalClassEBEEAEA2C0514D46A8292D115B4B6939""><div><ul><li><span style=""color&#58;black;""><a href=""https://members.healthtrustpg.com/contracts/682"" title=""?Award Summary""><span style=""color&#58;black;"">?</span>?Award Summary</a>&#160;</span></li><li><a href=""/&#58;p&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/682.Sharps%20Safety%20Education_Final.pptx?d=wbedd1c1c907a4ed2a7ff6644910d1873&amp;csf=1&amp;web=1&amp;e=NUqjYA"" title=""Clinical Resource - Sharps Safety Education?"">Clinical Resource - Sharps Safety Education?</a></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/682.Sharps%20Container%20Conservation%20Infographic.pdf?csf=1&amp;web=1&amp;e=8xyZrv"" title=""Clinical Resource - Sharps Container Conservation"">Clinical Resource - Sharps Container Conservation</a></li></ul></div></div>","<div class=""ExternalClassAB73BD5780484B7D957B41EC36749D35""><a href=""https://members.healthtrustpg.com/contracts/682"" title=""Containers - Sharps - Disposable and Hardware"">Containers - Sharps - Disposable and Hardware</a></div>"
"Retire/Resolved","2021-10-26","2022-02-16","Sterile Water","<div class=""ExternalClassD8A2C70DBCAA430BB03F60D732FE4419""><ul><li><span style=""color&#58;black;""><a href=""https&#58;//members.healthtrustpg.com/contracts/56040"" title=""56040"">56040</a></span></li><li><span style=""color&#58;black;""><a href=""https&#58;//members.healthtrustpg.com/contracts/56162"" title=""56162"">56162</a></span></li><li><span style=""color&#58;black;""><a href=""https&#58;//members.healthtrustpg.com/contracts/77371"" title=""77371"">77371</a>?</span></li></ul></div>","<div class=""ExternalClassB80BFDFDB78E42FD9EBE5C43650CD1CC"">No reported issues at present</div>","<div class=""ExternalClassF3265930579D4C61BC0F34DEA2B54FA3"">No official letter communicated. Information received via supplier.</div>","No reported issues at present","Not Selected","Not Selected","<div class=""ExternalClass2ECEDD1FC90040DD91FB91358846339F""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/56040.ED-Sterile-H2O-Irrigation-for-Inhalation.pdf?csf=1&amp;web=1&amp;e=LbUBFE"" title=""Clinical Resource - Clinical Evidence""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Clinical Evidence</span></a></li></ul></div></div>","<div class=""ExternalClass48F558507AC54E82830800CB725B7BEC"">Sterile Water</div>"
"Critical","2022-05-13","2022-05-16","Suction Canisters &amp; Liners","<div class=""ExternalClass3566729B0D594EC5AAD75A1978797AFE""><a href=""https&#58;//members.healthtrustpg.com/contracts/4684"" title=""4684"">4684</a></div>","<div class=""ExternalClass28547F16A05F42B0A6612D0052B71111""><span style=""color&#58;black;"">?</span>Guardian Suction Canisters <p>Flex Advantage&#160;</p><p>CRD<br></p></div>","<div class=""ExternalClassB291CAFF0A4241CBAB4B0740E695E867""><ul><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/59A29E3FA5E64EEEBCE00FF48014B73F.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212147130&amp;_hsenc=p2ANqtz-_c2fwBQQvHe3dw6LGNFD8VC8fVx8CeJ0oOtkFlFF8Bj6nNmCfrAkkIKwUTz-JU9nAVMuTwdbRGMqrC0fOYRZyH6Xb"" title=""UPDATE 5/13&#58; Cardinal Letter - April 28"">UPDATE 5/13&#58; Cardinal Letter - April 28</a></li><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/B2654EAEA4E74D4283248F65139D764D.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=202438117&amp;_hsenc=p2ANqtz---zeP33iXUPkIL4s5PYUQzRsMy5O0rUskj2X1btHbZ4VQXdyXcRaEyqQONbZxr1AUPXn1rmjcRgZtTfc7aVEVstm8"" title=""?Cardinal Letter - January 24"">?Cardinal Letter - January 24</a></li></ul></div>","CRITICAL ISSUE:
Production of Cardinal Health suction canisters was disrupted due to machinery performance, as well as labor shortages at Cardinal&#39;s Jacksonville, Texas, manufacturing plant. Available labor was impacted in January due to the pandemic but has now improved. Performance on the CRD line is expected to be optimized by Fall 2022 after new machinery is installed. Current equipment will be monitored daily with maintenance deployed as needed. 
UPDATE: Estimated Recovery Dates: 
Guardian Canister Series: Rolling shipments through Summer 2022. 
CRD Canister Series: Rolling shipments through Fall 2022.","Equipment Disruption, Labor Shortages","Member Communication, Clinical Alternatives","<div class=""ExternalClass4A558B2493C244D5BA1503704D651038""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><a href=""https://members.healthtrustpg.com/contracts/4684"" title=""?Award Summary""><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></a></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/4684_Infographic-Suction%20Canister_2.1.22.pdf?csf=1&amp;web=1&amp;e=LZkC53"" title=""Clinical Resource - Suction Canister Conservation""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Suction Canister Conservation</span></a></li></ul></div></div>","<div class=""ExternalClass14097BBB5F624CF18C85C35BB6474C53""><a href=""https://members.healthtrustpg.com/contracts/4684"" title=""Suction Canisters - Liners and Related Supplies"">Suction Canisters - Liners and Related Supplies</a></div>"
